item_id,interaction_count,popularity_rank,popularity_percentile
50,365,1,100.0
100,303,2,99.9
181,281,3,99.8
174,258,4,99.6
98,253,5,99.5
127,245,6,99.4
1,243,7,99.3
258,237,8,99.1
56,221,9,99.0
172,217,10,98.9
286,210,11,98.8
7,202,12,98.7
64,198,13,98.5
79,192,14,98.4
173,190,15,98.3
237,187,16,98.2
318,184,17,98.0
117,183,18,97.9
204,178,19,97.7
12,178,19,97.7
168,176,21,97.6
121,173,22,97.4
69,172,23,97.2
210,172,23,97.2
288,171,25,97.1
22,166,26,96.9
222,165,27,96.8
357,163,28,96.7
300,160,29,96.6
195,159,30,96.2
183,159,30,96.2
96,159,30,96.2
89,159,30,96.2
9,159,30,96.2
191,158,35,95.8
275,156,36,95.7
176,155,37,95.6
483,152,38,95.5
475,147,39,95.2
216,147,39,95.2
28,147,39,95.2
423,146,42,95.0
294,144,43,94.7
302,144,43,94.7
257,144,43,94.7
15,144,43,94.7
269,141,47,94.3
151,141,47,94.3
276,138,49,94.1
202,138,49,94.1
135,137,51,93.8
427,137,51,93.8
238,135,53,93.6
194,132,54,93.5
234,132,54,93.5
185,131,56,93.2
197,131,56,93.2
196,129,58,93.0
132,128,59,92.9
11,125,60,92.7
496,125,60,92.7
180,124,62,92.5
144,124,62,92.5
186,122,64,92.3
742,121,65,92.2
153,120,66,92.1
603,119,67,91.9
25,119,67,91.9
268,118,69,91.7
111,117,70,91.4
182,117,70,91.4
97,117,70,91.4
405,117,70,91.4
82,116,74,90.9
187,116,74,90.9
479,116,74,90.9
228,116,74,90.9
515,115,78,90.6
134,114,79,90.4
8,114,79,90.4
70,113,81,90.2
474,112,82,90.1
211,111,83,89.8
179,111,83,89.8
95,111,83,89.8
313,111,83,89.8
265,110,87,89.5
480,109,88,89.4
655,108,89,89.2
175,107,90,89.1
23,107,90,89.1
527,105,92,88.8
209,105,92,88.8
208,105,92,88.8
124,104,95,88.4
83,104,95,88.4
511,103,97,88.1
568,103,97,88.1
471,103,97,88.1
508,101,100,87.7
588,101,100,87.7
435,101,100,87.7
71,101,100,87.7
282,100,104,87.2
118,100,104,87.2
14,100,104,87.2
285,100,104,87.2
200,99,108,86.9
88,98,109,86.8
203,97,110,86.6
125,97,110,86.6
199,97,110,86.6
328,96,113,86.3
143,95,114,86.2
273,94,115,86.1
651,93,116,85.9
298,92,117,85.8
748,89,118,85.7
523,88,119,85.5
215,88,119,85.5
4,87,121,85.2
223,87,121,85.2
156,87,121,85.2
514,86,124,85.0
498,85,125,84.7
137,85,125,84.7
283,85,125,84.7
250,85,125,84.7
133,84,129,84.2
161,84,129,84.2
301,84,129,84.2
385,82,132,84.0
193,81,133,83.9
58,80,134,83.6
732,80,134,83.6
147,80,134,83.6
178,79,137,83.3
169,79,137,83.3
432,79,137,83.3
293,78,140,82.8
484,78,140,82.8
408,78,140,82.8
150,78,140,82.8
654,77,144,82.3
333,77,144,82.3
433,77,144,82.3
684,77,144,82.3
13,76,148,82.0
692,76,148,82.0
403,75,150,81.6
591,75,150,81.6
248,75,150,81.6
274,75,150,81.6
86,74,154,81.1
188,74,154,81.1
48,74,154,81.1
55,74,154,81.1
154,73,158,80.7
657,73,158,80.7
42,73,158,80.7
443,72,161,80.3
230,72,161,80.3
462,72,161,80.3
566,71,164,80.0
419,71,164,80.0
735,71,164,80.0
393,70,167,79.6
628,70,167,79.6
845,69,169,79.3
246,69,169,79.3
24,69,169,79.3
546,69,169,79.3
582,68,173,78.9
190,68,173,78.9
129,68,173,78.9
289,67,176,78.4
482,67,176,78.4
192,67,176,78.4
99,67,176,78.4
170,67,176,78.4
66,66,181,77.8
528,66,181,77.8
531,66,181,77.8
198,66,181,77.8
660,65,185,77.4
218,65,185,77.4
213,65,185,77.4
164,64,188,77.1
31,64,188,77.1
93,63,190,76.7
705,63,190,76.7
205,63,190,76.7
659,63,190,76.7
520,63,190,76.7
87,61,195,76.2
177,61,195,76.2
340,61,195,76.2
284,60,198,75.9
271,60,198,75.9
157,59,200,75.5
116,59,200,75.5
451,59,200,75.5
136,59,200,75.5
402,58,204,75.2
663,57,205,74.5
255,57,205,74.5
307,57,205,74.5
509,57,205,74.5
242,57,205,74.5
410,57,205,74.5
418,57,205,74.5
367,57,205,74.5
431,57,205,74.5
763,57,205,74.5
47,56,215,73.7
109,56,215,73.7
510,56,215,73.7
478,56,215,73.7
